Lead Actuator Force ,Lead Actuator Displacment 
-22.55,-9.14
-22.64,-9.18
-22.73,-9.22
-22.82,-9.27
-22.90,-9.31
-22.99,-9.36
-23.08,-9.40
-23.17,-9.45
-23.26,-9.49
-23.35,-9.54
-23.43,-9.58
-23.52,-9.63
-23.60,-9.67
-23.69,-9.72
-23.72,-9.76
-23.67,-9.77
-23.29,-9.73
-22.88,-9.68
-22.53,-9.64
-22.15,-9.59
-21.81,-9.55
-21.53,-9.50
-21.21,-9.45
-20.93,-9.41
-20.68,-9.36
-20.37,-9.32
-20.14,-9.27
-19.87,-9.23
-19.64,-9.19
-19.38,-9.14
-19.16,-9.10
-18.91,-9.05
-18.69,-9.01
-18.51,-8.96
-18.29,-8.92
-18.09,-8.87
-17.89,-8.83
-17.71,-8.78
-17.51,-8.73
-17.33,-8.69
-17.14,-8.64
-16.96,-8.60
-16.78,-8.55
-16.60,-8.51
-16.43,-8.47
-16.25,-8.42
-16.09,-8.38
-15.90,-8.33
-15.73,-8.29
-15.57,-8.24
-15.39,-8.20
-15.23,-8.15
-15.05,-8.10
-14.90,-8.06
-14.73,-8.02
-14.58,-7.97
-14.40,-7.93
-14.24,-7.88
-14.07,-7.84
-13.92,-7.79
-13.76,-7.75
-13.60,-7.70
-13.43,-7.66
-13.28,-7.61
-13.13,-7.57
-12.96,-7.52
-12.81,-7.48
-12.65,-7.43
-12.49,-7.38
-12.35,-7.34
-12.20,-7.30
-12.04,-7.25
-11.89,-7.21
-11.74,-7.16
-11.59,-7.12
-11.44,-7.07
-11.28,-7.03
-11.13,-6.98
-10.98,-6.94
-10.84,-6.90
-10.68,-6.85
-10.53,-6.80
-10.38,-6.76
-10.23,-6.71
-10.09,-6.67
-9.94,-6.62
-9.79,-6.58
-9.65,-6.53
-9.50,-6.49
-9.36,-6.44
-9.22,-6.40
-9.07,-6.35
-8.93,-6.31
-8.79,-6.27
-8.65,-6.22
-8.52,-6.18
-8.38,-6.13
-8.24,-6.09
-8.10,-6.04
-7.97,-5.99
-7.84,-5.95
-7.70,-5.91
-7.57,-5.86
-7.44,-5.82
-7.32,-5.77
-7.19,-5.73
-7.07,-5.68
-6.93,-5.64
-6.81,-5.59
-6.68,-5.55
-6.56,-5.50
-6.44,-5.46
-6.32,-5.41
-6.20,-5.37
-6.08,-5.32
-5.97,-5.28
-5.85,-5.23
-5.73,-5.19
-5.62,-5.15
-5.50,-5.10
-5.40,-5.05
-5.29,-5.01
-5.18,-4.97
-5.07,-4.92
-4.97,-4.88
-4.87,-4.83
-4.77,-4.79
-4.66,-4.74
-4.56,-4.70
-4.46,-4.66
-4.36,-4.61
-4.26,-4.56
-4.16,-4.52
-4.05,-4.47
-3.96,-4.43
-3.87,-4.38
-3.77,-4.33
-3.67,-4.29
-3.59,-4.25
-3.50,-4.20
-3.41,-4.16
-3.32,-4.11
-3.23,-4.07
-3.14,-4.03
-3.06,-3.98
-2.98,-3.94
-2.89,-3.89
-2.81,-3.85
-2.72,-3.80
-2.65,-3.76
-2.57,-3.71
-2.50,-3.66
-2.42,-3.62
-2.35,-3.58
-2.27,-3.53
-2.20,-3.49
-2.14,-3.44
-2.07,-3.40
-2.00,-3.35
-1.93,-3.31
-1.86,-3.26
-1.80,-3.22
-1.73,-3.17
-1.67,-3.13
-1.61,-3.09
-1.54,-3.04
-1.48,-3.00
-1.42,-2.95
-1.36,-2.91
-1.30,-2.86
-1.24,-2.82
-1.18,-2.77
-1.13,-2.73
-1.06,-2.68
-1.01,-2.64
-0.95,-2.59
-0.90,-2.55
-0.84,-2.50
-0.79,-2.46
-0.73,-2.42
-0.68,-2.37
-0.62,-2.33
-0.57,-2.28
-0.52,-2.23
-0.46,-2.19
-0.41,-2.15
-0.36,-2.10
-0.31,-2.06
-0.25,-2.01
-0.20,-1.97
-0.15,-1.92
-0.09,-1.88
-0.04,-1.84
0.02,-1.79
0.07,-1.74
0.12,-1.70
0.18,-1.66
0.23,-1.61
0.29,-1.57
0.35,-1.52
0.40,-1.47
0.45,-1.43
0.51,-1.39
0.57,-1.34
0.63,-1.29
0.70,-1.25
0.75,-1.21
0.82,-1.16
0.88,-1.12
0.95,-1.07
1.01,-1.03
1.07,-0.98
1.14,-0.94
1.21,-0.89
1.28,-0.85
1.35,-0.81
1.42,-0.76
1.49,-0.72
1.57,-0.67
1.64,-0.63
1.72,-0.58
1.80,-0.54
1.88,-0.50
1.97,-0.45
2.05,-0.40
2.14,-0.36
2.22,-0.32
2.32,-0.27
2.41,-0.22
2.51,-0.18
2.62,-0.14
2.73,-0.09
2.85,-0.04
2.96,0.00
3.08,0.04
3.20,0.09
3.32,0.13
3.44,0.18
3.56,0.22
3.68,0.27
3.80,0.31
3.91,0.36
4.02,0.40
4.12,0.45
4.22,0.49
4.32,0.54
4.42,0.58
4.52,0.62
4.62,0.67
4.72,0.71
4.82,0.76
4.93,0.80
5.02,0.85
5.12,0.89
5.22,0.94
5.33,0.98
5.43,1.03
5.53,1.07
5.63,1.12
5.73,1.16
5.83,1.21
5.93,1.25
6.02,1.30
6.12,1.34
6.23,1.38
6.32,1.43
6.42,1.47
6.52,1.52
6.61,1.56
6.71,1.61
6.81,1.65
6.90,1.70
7.00,1.74
7.09,1.79
7.18,1.83
7.28,1.88
7.37,1.92
7.46,1.96
7.55,2.01
7.64,2.05
7.73,2.10
7.82,2.14
7.90,2.19
7.99,2.23
8.07,2.28
8.16,2.32
8.24,2.37
8.32,2.41
8.41,2.46
8.49,2.50
8.57,2.54
8.65,2.59
8.73,2.64
8.81,2.68
8.89,2.73
8.97,2.77
9.05,2.81
9.13,2.86
9.21,2.90
9.28,2.94
9.37,2.99
9.45,3.04
9.53,3.08
9.60,3.13
9.68,3.17
9.76,3.21
9.84,3.26
9.92,3.31
9.99,3.35
10.07,3.39
10.15,3.44
10.22,3.48
10.30,3.53
10.38,3.57
10.46,3.62
10.53,3.67
10.61,3.71
10.69,3.75
10.77,3.80
10.84,3.84
10.92,3.89
11.00,3.93
11.08,3.97
11.16,4.02
11.24,4.06
11.31,4.11
11.41,4.15
11.49,4.20
11.57,4.25
11.65,4.29
11.73,4.33
11.81,4.38
11.90,4.42
11.98,4.47
12.06,4.51
12.13,4.56
12.22,4.60
12.30,4.64
12.39,4.69
12.47,4.74
12.55,4.78
12.64,4.82
12.72,4.87
12.80,4.91
12.88,4.96
12.97,5.00
13.05,5.05
13.13,5.09
13.22,5.14
13.29,5.18
13.38,5.23
13.45,5.27
13.53,5.32
13.62,5.36
13.69,5.40
13.77,5.45
13.85,5.49
13.93,5.54
14.01,5.58
14.09,5.63
14.16,5.67
14.24,5.71
14.32,5.76
14.40,5.81
14.48,5.85
14.55,5.89
14.63,5.94
14.71,5.98
14.78,6.03
14.87,6.07
14.94,6.12
15.02,6.16
15.09,6.21
15.18,6.25
15.25,6.29
15.33,6.34
15.40,6.39
15.48,6.43
15.56,6.47
15.65,6.52
15.72,6.56
15.80,6.61
15.88,6.65
15.97,6.70
16.04,6.74
16.13,6.79
16.21,6.83
16.30,6.88
16.38,6.92
16.46,6.96
16.55,7.01
16.63,7.05
16.72,7.10
16.81,7.14
16.90,7.19
16.98,7.23
17.07,7.27
17.16,7.32
17.25,7.36
17.34,7.41
17.44,7.46
17.53,7.50
17.62,7.55
17.72,7.59
17.80,7.64
17.90,7.68
17.98,7.72
18.08,7.76
18.17,7.81
18.26,7.86
18.36,7.90
18.45,7.95
18.54,7.99
18.64,8.04
18.73,8.08
18.83,8.13
18.91,8.17
19.00,8.21
19.09,8.26
19.18,8.30
19.28,8.35
19.37,8.39
19.46,8.44
19.56,8.48
19.65,8.52
19.74,8.57
19.83,8.62
19.92,8.66
20.01,8.70
20.10,8.75
20.19,8.79
20.28,8.84
20.37,8.88
20.46,8.93
20.55,8.97
20.64,9.02
20.73,9.06
20.82,9.11
20.91,9.15
21.00,9.20
21.09,9.24
21.18,9.28
21.27,9.33
21.36,9.37
21.45,9.42
21.54,9.46
21.63,9.51
21.72,9.55
21.81,9.60
21.91,9.64
21.99,9.69
22.08,9.73
22.03,9.76
21.89,9.76
21.53,9.71
21.06,9.67
20.64,9.62
20.33,9.58
20.03,9.53
19.69,9.48
19.44,9.44
19.15,9.39
18.88,9.35
18.61,9.30
18.38,9.26
18.11,9.21
17.89,9.17
17.67,9.12
17.44,9.08
17.21,9.03
17.01,8.99
16.80,8.94
16.61,8.90
16.41,8.85
16.22,8.81
16.04,8.76
15.86,8.72
15.67,8.67
15.48,8.63
15.32,8.58
15.14,8.54
14.97,8.49
14.80,8.45
14.62,8.41
14.47,8.36
14.29,8.32
14.14,8.27
13.99,8.22
13.82,8.18
13.67,8.13
13.51,8.09
13.35,8.05
13.21,8.00
13.05,7.96
12.89,7.91
12.75,7.87
12.61,7.82
12.46,7.78
12.32,7.73
12.17,7.68
12.04,7.64
11.90,7.60
11.76,7.55
11.63,7.50
11.48,7.46
11.35,7.42
11.21,7.37
11.07,7.33
10.94,7.28
10.80,7.24
10.66,7.19
10.54,7.15
10.41,7.10
10.27,7.06
10.14,7.01
10.01,6.97
9.89,6.92
9.76,6.88
9.64,6.83
9.52,6.79
9.39,6.74
9.27,6.70
9.15,6.65
9.04,6.61
8.91,6.56
8.80,6.52
8.69,6.47
8.57,6.43
8.47,6.39
8.34,6.34
8.23,6.30
8.13,6.25
8.01,6.21
7.91,6.16
7.80,6.12
7.69,6.07
7.59,6.03
7.49,5.98
7.39,5.94
7.29,5.89
7.17,5.85
7.08,5.80
6.98,5.76
6.88,5.71
6.78,5.67
6.68,5.62
6.58,5.58
6.50,5.53
6.40,5.49
6.31,5.44
6.22,5.40
6.13,5.35
6.04,5.31
5.95,5.27
5.87,5.22
5.78,5.17
5.70,5.13
5.61,5.09
5.52,5.04
5.44,5.00
5.35,4.95
5.27,4.91
5.19,4.86
5.11,4.82
5.03,4.77
4.94,4.73
4.87,4.68
4.79,4.64
4.71,4.59
4.64,4.55
4.56,4.50
4.48,4.46
4.40,4.42
4.33,4.37
4.25,4.33
4.16,4.28
4.09,4.24
4.00,4.19
3.94,4.15
3.85,4.10
3.77,4.06
3.69,4.01
3.61,3.96
3.54,3.92
3.46,3.88
3.38,3.83
3.30,3.79
3.23,3.74
3.15,3.70
3.07,3.65
3.00,3.61
2.91,3.56
2.84,3.52
2.77,3.47
2.69,3.43
2.62,3.39
2.54,3.34
2.46,3.30
2.39,3.25
2.32,3.21
2.24,3.16
2.16,3.12
2.09,3.07
2.01,3.03
1.94,2.98
1.86,2.94
1.78,2.89
1.71,2.85
1.63,2.80
1.57,2.76
1.49,2.72
1.42,2.67
1.34,2.62
1.27,2.58
1.19,2.53
1.12,2.49
1.04,2.45
0.96,2.40
0.90,2.36
0.82,2.31
0.74,2.27
0.67,2.22
0.59,2.18
0.52,2.14
0.45,2.09
0.37,2.04
0.31,2.00
0.23,1.95
0.16,1.91
0.09,1.87
0.02,1.82
-0.05,1.78
-0.12,1.73
-0.19,1.69
-0.26,1.65
-0.33,1.60
-0.41,1.55
-0.48,1.51
-0.55,1.46
-0.61,1.42
-0.66,1.37
-0.71,1.33
-0.78,1.28
-0.84,1.24
-0.90,1.20
-0.97,1.15
-1.03,1.11
-1.09,1.06
-1.16,1.02
-1.22,0.97
-1.28,0.93
-1.36,0.88
-1.42,0.84
-1.50,0.79
-1.57,0.75
-1.65,0.71
-1.74,0.66
-1.83,0.61
-1.91,0.57
-2.00,0.52
-2.10,0.48
-2.20,0.43
-2.31,0.39
-2.41,0.35
-2.53,0.30
-2.66,0.26
-2.78,0.21
-2.91,0.17
-3.05,0.12
-3.16,0.08
-3.30,0.03
-3.42,-0.01
-3.54,-0.06
-3.67,-0.10
-3.79,-0.15
-3.92,-0.19
-4.05,-0.23
-4.17,-0.28
-4.29,-0.33
-4.43,-0.37
-4.54,-0.41
-4.66,-0.46
-4.79,-0.50
-4.90,-0.55
-5.04,-0.59
-5.16,-0.64
-5.26,-0.68
-5.40,-0.73
-5.51,-0.77
-5.63,-0.82
-5.77,-0.86
-5.87,-0.90
-6.01,-0.95
-6.14,-0.99
-6.25,-1.04
-6.36,-1.08
-6.48,-1.13
-6.58,-1.17
-6.70,-1.22
-6.80,-1.26
-6.88,-1.30
-6.97,-1.35
-7.05,-1.39
-7.10,-1.44
-7.18,-1.48
-7.24,-1.53
-7.30,-1.57
-7.38,-1.62
-7.43,-1.66
-7.49,-1.71
-7.56,-1.75
-7.61,-1.80
-7.68,-1.84
-7.75,-1.89
-7.81,-1.93
-7.87,-1.98
-7.95,-2.02
-8.01,-2.07
-8.08,-2.11
-8.16,-2.15
-8.21,-2.20
-8.29,-2.25
-8.37,-2.29
-8.43,-2.33
-8.51,-2.38
-8.58,-2.42
-8.64,-2.47
-8.73,-2.51
-8.79,-2.56
-8.86,-2.60
-8.94,-2.65
-9.01,-2.69
-9.08,-2.74
-9.16,-2.78
-9.23,-2.82
-9.30,-2.87
-9.39,-2.91
-9.46,-2.96
-9.53,-3.00
-9.63,-3.05
-9.69,-3.09
-9.78,-3.14
-9.87,-3.18
-9.93,-3.23
-10.03,-3.27
-10.11,-3.31
-10.18,-3.36
-10.27,-3.41
-10.35,-3.45
-10.43,-3.49
-10.53,-3.54
-10.60,-3.58
-10.68,-3.63
-10.77,-3.67
-10.85,-3.72
-10.94,-3.76
-11.03,-3.81
-11.12,-3.85
-11.21,-3.90
-11.30,-3.94
-11.39,-3.99
-11.47,-4.03
-11.57,-4.08
-11.65,-4.12
-11.75,-4.17
-11.86,-4.21
-11.93,-4.25
-12.03,-4.30
-12.12,-4.34
-12.21,-4.39
-12.32,-4.43
-12.40,-4.48
-12.49,-4.52
-12.60,-4.56
-12.69,-4.61
-12.78,-4.66
-12.88,-4.70
-12.97,-4.74
-13.07,-4.79
-13.17,-4.83
-13.27,-4.88
-13.37,-4.92
-13.48,-4.97
-13.57,-5.01
-13.67,-5.06
-13.78,-5.10
-13.87,-5.14
-13.98,-5.19
-14.08,-5.23
-14.18,-5.28
-14.29,-5.32
-14.38,-5.37
-14.49,-5.41
-14.58,-5.46
-14.69,-5.50
-14.79,-5.55
-14.89,-5.59
-14.99,-5.64
-15.10,-5.68
-15.20,-5.72
-15.31,-5.77
-15.41,-5.82
-15.51,-5.86
-15.61,-5.90
-15.73,-5.95
-15.83,-5.99
-15.93,-6.04
-16.03,-6.08
-16.13,-6.13
-16.24,-6.17
-16.34,-6.22
-16.45,-6.26
-16.55,-6.30
-16.66,-6.35
-16.76,-6.39
-16.86,-6.44
-16.97,-6.48
-17.07,-6.53
-17.16,-6.57
-17.27,-6.62
-17.37,-6.66
-17.47,-6.71
-17.57,-6.75
-17.66,-6.79
-17.77,-6.84
-17.87,-6.88
-17.97,-6.93
-18.08,-6.97
-18.17,-7.02
-18.27,-7.06
-18.38,-7.11
-18.47,-7.15
-18.57,-7.20
-18.67,-7.24
-18.76,-7.29
-18.86,-7.33
-18.96,-7.38
-19.05,-7.42
-19.15,-7.47
-19.24,-7.51
-19.34,-7.55
-19.43,-7.60
-19.53,-7.64
-19.63,-7.69
-19.72,-7.73
-19.82,-7.78
-19.91,-7.82
-20.01,-7.87
-20.11,-7.91
-20.20,-7.96
-20.31,-8.00
-20.40,-8.05
-20.49,-8.09
-20.59,-8.14
-20.68,-8.18
-20.78,-8.22
-20.88,-8.27
-20.97,-8.31
-21.06,-8.36
-21.15,-8.40
-21.25,-8.45
-21.34,-8.49
-21.44,-8.54
-21.53,-8.58
-21.62,-8.63
-21.72,-8.67
-21.80,-8.71
-21.90,-8.75
-22.01,-8.80
-22.08,-8.85
-22.18,-8.89
-22.29,-8.94
-22.36,-8.98
-22.47,-9.03
-22.56,-9.07
-22.64,-9.11
-22.74,-9.16
-22.82,-9.20
-22.91,-9.25
-23.01,-9.29
-23.09,-9.34
-23.18,-9.38
-23.27,-9.43
-23.36,-9.47
-23.44,-9.52
-23.53,-9.56
-23.62,-9.60
-23.71,-9.65
-23.80,-9.69
-23.88,-9.74
-23.81,-9.76
-23.71,-9.76
-23.24,-9.70
-22.83,-9.66
-22.46,-9.61
-22.11,-9.56
-21.79,-9.52
-21.46,-9.47
-21.22,-9.43
-20.90,-9.38
-20.65,-9.34
-20.37,-9.29
-20.12,-9.25
-19.87,-9.20
-19.62,-9.16
-19.38,-9.11
-19.14,-9.06
-18.92,-9.02
-18.70,-8.98
-18.51,-8.93
-18.31,-8.89
-18.11,-8.84
-17.92,-8.80
-17.74,-8.75
-17.55,-8.71
-17.37,-8.66
-17.18,-8.61
-17.00,-8.57
-16.83,-8.53
-16.65,-8.48
-16.48,-8.44
-16.30,-8.39
-16.13,-8.35
-15.96,-8.30
-15.79,-8.26
-15.63,-8.21
-15.46,-8.17
-15.29,-8.12
-15.13,-8.08
-14.97,-8.04
-14.80,-7.99
-14.64,-7.94
-14.48,-7.89
-14.31,-7.85
-14.16,-7.81
-13.99,-7.76
-13.83,-7.72
-13.66,-7.67
-13.51,-7.63
-13.36,-7.58
-13.20,-7.54
-13.04,-7.49
-12.88,-7.45
-12.73,-7.40
-12.58,-7.36
-12.42,-7.31
-12.27,-7.27
-12.11,-7.22
-11.96,-7.18
-11.82,-7.13
-11.67,-7.09
-11.52,-7.05
-11.36,-7.00
-11.20,-6.96
-11.06,-6.91
-10.90,-6.87
-10.74,-6.82
-10.59,-6.78
-10.44,-6.73
-10.30,-6.69
-10.14,-6.64
-10.00,-6.60
-9.84,-6.55
-9.70,-6.50
-9.56,-6.46
-9.41,-6.42
-9.27,-6.37
-9.13,-6.32
-8.98,-6.28
-8.85,-6.24
-8.71,-6.19
-8.57,-6.15
-8.43,-6.10
-8.29,-6.05
-8.16,-6.01
-8.03,-5.97
-7.89,-5.92
-7.76,-5.88
-7.63,-5.83
-7.50,-5.79
-7.38,-5.74
-7.25,-5.70
-7.12,-5.66
-6.99,-5.61
-6.87,-5.57
-6.75,-5.52
-6.62,-5.48
-6.50,-5.43
-6.38,-5.39
-6.26,-5.34
-6.14,-5.29
-6.03,-5.25
-5.91,-5.21
-5.79,-5.16
-5.69,-5.12
-5.57,-5.07
-5.47,-5.03
-5.36,-4.98
-5.25,-4.94
-5.14,-4.89
-5.04,-4.85
-4.93,-4.81
-4.83,-4.76
-4.72,-4.72
-4.61,-4.67
-4.52,-4.62
-4.42,-4.58
-4.31,-4.53
-4.21,-4.49
-4.11,-4.44
-4.01,-4.40
-3.92,-4.36
-3.82,-4.31
-3.72,-4.26
-3.63,-4.22
-3.54,-4.17
-3.46,-4.13
-3.36,-4.09
-3.27,-4.05
-3.18,-4.00
-3.10,-3.96
-3.02,-3.91
-2.93,-3.87
-2.85,-3.82
-2.77,-3.77
-2.69,-3.73
-2.61,-3.68
-2.54,-3.64
-2.46,-3.60
-2.39,-3.55
-2.32,-3.51
-2.25,-3.46
-2.18,-3.42
-2.12,-3.37
-2.05,-3.33
-1.98,-3.28
-1.92,-3.24
-1.86,-3.19
-1.79,-3.15
-1.73,-3.10
-1.67,-3.06
-1.61,-3.01
-1.55,-2.97
-1.49,-2.92
-1.43,-2.88
-1.37,-2.83
-1.32,-2.79
-1.26,-2.75
-1.20,-2.70
-1.14,-2.66
-1.09,-2.61
-1.04,-2.57
-0.98,-2.52
-0.93,-2.48
-0.87,-2.44
-0.82,-2.39
-0.77,-2.35
-0.72,-2.30
-0.66,-2.26
-0.60,-2.21
-0.56,-2.17
-0.50,-2.12
-0.45,-2.08
-0.40,-2.03
-0.34,-1.99
-0.28,-1.94
-0.24,-1.90
-0.18,-1.85
-0.13,-1.80
-0.07,-1.76
-0.01,-1.72
0.04,-1.67
0.09,-1.63
0.14,-1.58
0.20,-1.54
0.26,-1.50
0.31,-1.45
0.37,-1.41
0.43,-1.36
0.49,-1.32
0.55,-1.27
0.61,-1.23
0.67,-1.18
0.73,-1.14
0.79,-1.09
0.86,-1.05
0.92,-1.00
0.99,-0.96
1.05,-0.91
1.11,-0.87
1.19,-0.82
1.25,-0.78
1.32,-0.73
1.39,-0.69
1.47,-0.65
1.54,-0.60
1.61,-0.56
1.69,-0.51
1.77,-0.47
1.85,-0.42
1.94,-0.38
2.02,-0.34
2.11,-0.29
2.20,-0.25
2.30,-0.20
2.41,-0.16
2.51,-0.11
2.63,-0.07
2.74,-0.02
2.86,0.02
2.99,0.06
3.11,0.11
3.23,0.16
3.35,0.21
3.47,0.25
3.59,0.29
3.71,0.34
3.83,0.38
3.93,0.43
4.04,0.47
4.14,0.52
4.24,0.56
4.35,0.60
4.45,0.65
4.54,0.70
4.64,0.74
4.74,0.78
4.84,0.83
4.94,0.87
5.04,0.92
5.14,0.96
5.24,1.01
5.35,1.05
5.44,1.09
5.54,1.14
5.64,1.18
5.75,1.23
5.85,1.27
5.95,1.32
6.05,1.37
6.15,1.41
6.25,1.46
6.35,1.50
6.45,1.54
6.54,1.59
6.64,1.63
6.74,1.68
6.83,1.72
6.92,1.77
7.02,1.81
7.11,1.86
7.21,1.90
7.30,1.94
7.39,1.99
7.48,2.03
7.56,2.08
7.65,2.13
7.73,2.17
7.82,2.21
7.90,2.26
7.98,2.30
8.07,2.35
8.16,2.39
8.23,2.44
8.32,2.48
8.39,2.53
8.48,2.58
8.55,2.62
8.64,2.66
8.70,2.71
8.78,2.75
8.86,2.79
8.94,2.84
9.02,2.88
9.09,2.93
9.17,2.97
9.25,3.02
9.32,3.06
9.40,3.11
9.47,3.15
9.55,3.19
9.63,3.24
9.71,3.28
9.78,3.33
9.86,3.38
9.94,3.42
10.01,3.46
10.09,3.51
10.17,3.55
10.24,3.60
10.32,3.64
10.40,3.69
10.48,3.73
10.55,3.78
10.63,3.82
10.71,3.86
10.79,3.91
10.87,3.95
10.95,4.00
11.03,4.04
11.11,4.09
11.19,4.13
11.27,4.18
11.35,4.22
11.43,4.27
11.52,4.31
11.60,4.36
11.68,4.40
11.76,4.44
11.85,4.49
11.93,4.53
12.01,4.58
12.09,4.62
12.18,4.67
12.25,4.71
12.34,4.76
12.42,4.80
12.50,4.85
12.58,4.89
12.67,4.94
12.74,4.98
12.83,5.02
12.91,5.07
12.99,5.11
13.07,5.16
13.16,5.20
13.24,5.25
13.32,5.29
13.40,5.34
13.49,5.38
13.57,5.43
13.65,5.47
13.73,5.52
13.81,5.56
13.89,5.60
13.97,5.65
14.05,5.69
14.12,5.74
14.20,5.78
14.28,5.83
14.36,5.87
14.44,5.92
14.52,5.96
14.60,6.00
14.68,6.05
14.76,6.09
14.83,6.14
14.92,6.19
14.99,6.23
15.07,6.28
15.15,6.33
15.23,6.37
15.31,6.41
15.39,6.46
15.47,6.50
15.55,6.54
15.63,6.59
15.71,6.63
15.79,6.67
15.88,6.72
15.96,6.77
16.05,6.81
16.13,6.85
16.22,6.90
16.31,6.94
16.40,6.99
16.48,7.03
16.57,7.08
16.66,7.12
16.75,7.17
16.84,7.21
16.93,7.26
17.02,7.30
17.11,7.34
17.19,7.39
17.29,7.43
17.38,7.48
17.47,7.52
17.56,7.57
17.66,7.61
17.75,7.66
17.84,7.70
17.93,7.75
18.02,7.79
18.11,7.83
18.20,7.88
18.29,7.92
18.39,7.97
18.48,8.01
18.57,8.06
18.66,8.10
18.76,8.15
18.85,8.19
18.94,8.24
19.03,8.28
19.12,8.33
19.21,8.37
19.31,8.41
19.40,8.46
19.50,8.50
19.59,8.55
19.68,8.59
19.77,8.64
19.87,8.68
19.96,8.73
20.05,8.77
20.15,8.82
20.24,8.86
20.33,8.91
20.42,8.95
20.51,9.00
20.61,9.04
20.70,9.08
20.80,9.13
20.89,9.17
20.98,9.22
21.08,9.26
21.17,9.31
21.26,9.35
21.36,9.40
21.45,9.44
21.54,9.49
21.63,9.53
21.73,9.57
21.82,9.62
21.92,9.66
22.01,9.71
22.08,9.75
22.00,9.76
21.67,9.73
21.23,9.69
20.84,9.64
20.46,9.59
20.11,9.55
19.83,9.50
19.54,9.46
19.26,9.41
18.98,9.36
18.74,9.32
18.49,9.27
18.23,9.23
18.00,9.19
17.77,9.14
17.54,9.09
17.33,9.05
17.11,9.00
16.91,8.96
16.71,8.91
16.52,8.87
16.32,8.82
16.14,8.78
15.95,8.73
15.77,8.69
15.60,8.64
15.41,8.60
15.25,8.56
15.08,8.51
14.90,8.46
14.73,8.42
14.57,8.38
14.39,8.33
14.24,8.28
14.08,8.24
13.91,8.20
13.76,8.15
13.60,8.11
13.44,8.06
13.30,8.02
13.14,7.97
12.99,7.93
12.84,7.88
12.70,7.84
12.56,7.79
12.42,7.75
12.27,7.70
12.13,7.66
12.00,7.61
11.86,7.57
11.72,7.53
11.58,7.48
11.43,7.44
11.30,7.39
11.17,7.35
11.02,7.30
10.89,7.25
10.76,7.21
10.62,7.17
10.49,7.12
10.36,7.07
10.23,7.03
10.10,6.98
9.98,6.94
9.85,6.90
9.73,6.85
9.60,6.81
9.48,6.76
9.36,6.72
9.24,6.67
9.12,6.63
9.00,6.58
8.88,6.54
8.76,6.49
8.65,6.45
8.54,6.41
8.41,6.36
8.30,6.31
8.19,6.27
8.08,6.22
7.97,6.18
7.87,6.13
7.75,6.09
7.65,6.05
7.54,6.00
7.45,5.96
7.33,5.91
7.23,5.87
7.12,5.82
7.02,5.78
6.93,5.73
6.82,5.69
6.72,5.64
6.63,5.60
6.53,5.55
6.43,5.51
6.34,5.46
6.25,5.42
6.15,5.37
6.06,5.33
5.98,5.29
5.88,5.24
5.79,5.19
5.70,5.15
5.61,5.11
5.53,5.06
5.45,5.02
5.36,4.97
5.28,4.93
5.20,4.88
5.11,4.84
5.04,4.79
4.96,4.75
4.87,4.70
4.80,4.66
4.72,4.61
4.64,4.57
4.57,4.52
4.49,4.48
4.41,4.43
4.34,4.39
4.28,4.34
4.19,4.30
4.11,4.26
4.04,4.21
3.96,4.17
3.88,4.12
3.81,4.08
3.71,4.03
3.64,3.99
3.57,3.94
3.49,3.90
3.41,3.85
3.33,3.81
3.25,3.76
3.18,3.72
3.10,3.67
3.02,3.63
2.95,3.58
2.87,3.54
2.79,3.49
2.72,3.45
2.65,3.41
2.56,3.36
2.49,3.31
2.42,3.27
2.34,3.23
2.27,3.18
2.19,3.14
2.11,3.09
2.04,3.05
1.97,3.00
1.89,2.96
1.81,2.91
1.74,2.87
1.66,2.82
1.59,2.78
1.52,2.73
1.44,2.69
1.36,2.65
1.30,2.60
1.22,2.55
1.15,2.51
1.07,2.47
0.99,2.42
0.93,2.38
0.86,2.33
0.79,2.29
0.72,2.24
0.64,2.20
0.56,2.16
0.50,2.11
0.44,2.07
0.36,2.02
0.28,1.98
0.23,1.93
0.15,1.88
0.08,1.84
0.02,1.80
-0.06,1.75
-0.12,1.71
-0.19,1.66
-0.27,1.62
-0.33,1.57
-0.40,1.53
-0.47,1.48
-0.53,1.44
-0.59,1.39
-0.64,1.35
-0.70,1.31
-0.76,1.26
-0.82,1.22
-0.89,1.17
-0.95,1.13
-1.01,1.08
-1.08,1.04
-1.14,0.99
-1.21,0.95
-1.27,0.90
-1.35,0.86
-1.43,0.81
-1.50,0.77
-1.58,0.72
-1.68,0.68
-1.76,0.64
-1.86,0.59
-1.96,0.54
-2.06,0.50
-2.16,0.45
-2.27,0.41
-2.39,0.37
-2.51,0.32
-2.63,0.28
-2.75,0.23
-2.88,0.19
-3.01,0.15
-3.13,0.10
-3.26,0.05
-3.38,0.01
-3.51,-0.03
-3.64,-0.08
-3.76,-0.12
-3.88,-0.17
-4.01,-0.21
-4.14,-0.26
-4.26,-0.30
-4.38,-0.35
-4.50,-0.39
-4.62,-0.44
-4.74,-0.48
-4.86,-0.52
-4.98,-0.57
-5.09,-0.62
-5.21,-0.66
-5.33,-0.71
-5.44,-0.75
-5.57,-0.79
-5.69,-0.84
-5.80,-0.88
-5.93,-0.93
-6.05,-0.97
-6.17,-1.02
-6.29,-1.06
-6.40,-1.11
